,Player,Dealer,Ace,Hit Flag,Stand,Hit,Double Down,Surrender,Best Action Index,Best Action
415,14,4,1,1,-21.97290548785523,-7.446893383777724,-100.0,-100.0,1,H
416,14,5,0,0,-91.3476826942161,-84.50720639498627,-86.9286909562034,-93.72815178709084,1,H
417,14,5,0,1,-51.808942287026326,-97.79926016856376,-742.7820074654009,-538.5661949988028,0,S
418,14,5,1,0,-26.524804910861974,-5.839094614527671,-37.543178986270775,-20.35400158008823,1,H
419,14,5,1,1,-12.234694254921834,-12.41888673349764,-100.0,-100.0,0,S
420,14,6,0,0,-19.449809849504128,-95.52048631850468,-85.05690367627724,-89.2672099812412,0,S
421,14,6,0,1,-76.50861955411543,-61.04580579870371,-348.44231237290774,-418.2326078344635,1,H
422,14,6,1,0,-45.9631494336608,-11.473280045465875,-31.62638325292662,-28.67766410891703,1,H
423,14,6,1,1,-7.978084703840132,4.303227682791041,-100.0,-100.0,1,H
424,14,7,0,0,-103.6925535876382,-110.41807157369635,-102.99679264056998,-88.84989099683044,3,Su
425,14,7,0,1,-95.39126898148396,-43.119781292342374,-489.92424452703926,-594.2570096470336,1,H
426,14,7,1,0,-31.276912923926048,-12.09340491153744,-31.467394048737688,-28.57025237041228,1,H
427,14,7,1,1,0.0,13.267268814853884,0.0,0.0,1,H
428,14,8,0,0,-102.04136591063344,-83.1605680502813,-94.2062265556596,-83.5183062046966,1,H
429,14,8,0,1,-100.92219365897493,-70.31020859538049,-641.2364114592177,-419.8654811846751,1,H
430,14,8,1,0,-36.64192454345991,-18.654778086087894,-36.32506249007331,-36.096779717030444,1,H
431,14,8,1,1,-16.76834102645031,-2.921236000378788,-100.0,-100.0,1,H
432,14,9,0,0,-107.95357116648172,-75.8242975339928,-148.93628285295557,-102.68955797811189,1,H
433,14,9,0,1,-117.10243401041038,-76.61038777121341,-427.9529596047666,-358.86521888370777,1,H
434,14,9,1,0,-56.268837060756645,-31.438575667663354,-75.07168766820222,-40.10462063261131,1,H
435,14,9,1,1,-24.87827109584084,-12.869382062678941,-100.0,-190.99312872536598,1,H
436,14,10,0,0,-110.40424396503693,-55.78903594124868,-160.42433129473872,-92.96485235370777,1,H
437,14,10,0,1,-109.4394258415558,-99.87863743954736,-985.6686678187332,-1037.3135463357412,1,H
438,14,10,1,0,-76.21471469439626,-39.47238420615954,-49.092343199797426,-60.89807338594192,1,H
439,14,10,1,1,-22.380525736203314,-20.259378218948832,-191.54273821540207,-100.0,1,H
440,15,1,0,0,-95.32532277531816,-100.02356266604524,-193.1559581444908,-83.16551414223109,3,Su
441,15,1,0,1,-94.97891609239808,-122.03255728639613,-651.3902478328943,-606.8510053686147,0,S
442,15,1,1,0,-57.492648394188855,-56.650800489047164,-58.80769859041639,-56.3134105537832,3,Su
443,15,1,1,1,-22.440146890827833,-18.623679803891065,-190.44872599776994,-100.0,1,H
444,15,2,0,0,-94.2613023818839,-97.98111565962756,-118.88493104334049,-94.71895899658466,0,S
445,15,2,0,1,-100.27770741487228,-97.95057605782961,-279.22346517065125,-279.98161515971805,1,H
446,15,2,1,0,-45.051987346778844,-27.81433563566103,-34.50068224562412,-37.633770120322914,1,H
447,15,2,1,1,-17.246815379784078,-7.913950301479673,-100.0,-100.0,1,H
448,15,3,0,0,-56.4297800150198,-95.62050577802216,-98.45668838193362,-88.01611116987551,0,S
449,15,3,0,1,-55.38450595218304,-84.8006723109433,-349.68508491090245,-638.4483167575444,0,S
450,15,3,1,0,-45.27942830176724,-22.40663782258268,-39.26782947065186,-33.79291598334971,1,H
451,15,3,1,1,-24.904980730036428,-23.98770107392448,-100.0,-100.0,1,H
452,15,4,0,0,-101.1991304994042,-94.62539472310263,-158.91832608069723,-73.532584234652,3,Su
453,15,4,0,1,-73.47437869660892,-89.94387231775914,-536.6620951796372,-353.31874738487676,0,S
454,15,4,1,0,-26.786400650896308,-10.831501699588824,-30.575924220673958,-26.131841792687435,1,H
455,15,4,1,1,-15.054911842854931,-8.791323868107991,-189.70449644532943,-100.0,1,H
456,15,5,0,0,-99.15441598003275,-73.12858678648801,-120.1858607101987,-83.36531095038637,1,H
457,15,5,0,1,-71.37247109012719,-105.6353570791852,-478.5214628392092,-594.6881392972571,0,S
458,15,5,1,0,-23.164867828959256,-23.974266292671587,-37.48734508649234,-32.33904663194552,0,S
459,15,5,1,1,-15.233665907993213,-8.821920930708364,-100.0,-190.0396333358131,1,H
460,15,6,0,0,-69.64634507304565,-88.94306389134425,-109.53438432089288,-85.87936474252733,0,S
461,15,6,0,1,-38.92961883872773,-104.0839514840555,-577.7766461723854,-537.9506304857613,0,S
462,15,6,1,0,-29.169543045741015,-15.696497420976048,-34.10980669925698,-28.456165570233924,1,H
463,15,6,1,1,-6.859769635445167,-10.310103731174335,-190.59320787472254,-100.0,0,S
464,15,7,0,0,-98.12024377076911,-103.18933387626764,-90.4300460411438,-87.49000348318302,3,Su
465,15,7,0,1,-120.12258643291734,-45.23723488951851,-727.8132257258692,-358.5478391660777,1,H
466,15,7,1,0,-38.000957020316356,-6.161618204926664,-36.20405528002263,-40.73180370353646,1,H
467,15,7,1,1,-25.245724921528733,-19.18410403129445,-100.0,-100.0,1,H
468,15,8,0,0,-102.57821261997857,-56.69092416903878,-118.84143323522824,-97.00263107134069,1,H
469,15,8,0,1,-105.43146230696223,-75.29045798395308,-604.6968463528342,-546.9535991502777,1,H
470,15,8,1,0,-55.92787169125183,-40.96861022886076,-59.80348383500445,-50.936777315245166,1,H
471,15,8,1,1,-14.661881841941463,-4.304025217465986,-100.0,-100.0,1,H
472,15,9,0,0,-92.573921272647,-82.97437694171481,-113.94797759293373,-89.39006835394122,1,H
473,15,9,0,1,-116.75441031668807,-85.06745679914876,-490.619485226572,-493.2291028100215,1,H
474,15,9,1,0,-49.98777090916637,-35.065298756146404,-86.01620747100543,-46.77573309412763,1,H
475,15,9,1,1,-30.579365827888534,-17.61319037134686,-189.2265897272961,-100.0,1,H
476,15,10,0,0,-113.45223873991033,-98.61898539446283,-156.12371248873694,-81.00879162072876,3,Su
477,15,10,0,1,-123.322507553477,-71.7785326806898,-1010.5113504754215,-1040.8267343883035,1,H
478,15,10,1,0,-74.17349356315518,-38.800860630341816,-51.216988438126506,-67.07440565756369,1,H
479,15,10,1,1,-56.882115830514834,-44.94368331671968,-271.8251508835304,-270.6686876249451,1,H
480,16,1,0,0,-96.00575992176356,-105.80412318950778,-159.44149327644752,-86.45641387472367,3,Su
481,16,1,0,1,-118.76646612737007,-96.28887719152776,-734.0626113684475,-434.98068975919,1,H
482,16,1,1,0,-67.18216730369423,-61.787305138386074,-75.98714305630868,-63.784450138092076,1,H
483,16,1,1,1,-43.76717965570361,-41.80714008545539,-100.0,-191.89339226964046,1,H
484,16,2,0,0,-75.9249269086254,-98.23685951784356,-140.23113226103658,-95.08207904755795,0,S
485,16,2,0,1,-102.4932470040861,-53.80527335781694,-760.2132473305012,-488.4750729850209,1,H
486,16,2,1,0,-39.64198757097179,-29.065545291713057,-57.98798118109728,-33.74148778040134,1,H
487,16,2,1,1,-43.47508079025751,-22.201581839828627,-100.0,-191.9094806101321,1,H
488,16,3,0,0,-105.1479997668062,-98.78386596316356,-116.02164307646605,-77.45074415209152,3,Su
489,16,3,0,1,-100.32075415942239,-114.58484281615242,-353.28956305945246,-548.5771044512077,0,S
490,16,3,1,0,-47.07108076827846,-31.46401272663497,-47.59677499425079,-42.02101367274639,1,H
491,16,3,1,1,-36.466665252220594,-32.768213244374834,-100.0,-100.0,1,H
492,16,4,0,0,-43.62698635009954,-94.70521048787909,-118.6107215055959,-77.54631599076684,0,S
493,16,4,0,1,-67.7134729155629,-80.4312327387472,-481.20982193044927,-625.3121147206328,0,S
494,16,4,1,0,-35.6868702646792,-2.772388399403793,-92.44161086743216,-33.102593280392156,1,H
495,16,4,1,1,-23.574041512421623,-17.900685373862512,-100.0,-100.0,1,H
496,16,5,0,0,-77.11680245175442,-81.07427660562306,-106.18152931573918,-79.84671338246588,0,S
497,16,5,0,1,-100.60727489803172,-80.44580836223777,-720.6494420947148,-585.3342209119888,1,H
498,16,5,1,0,-42.44071586060815,-36.82705729922591,-55.892819033994314,-36.85323252167926,1,H
499,16,5,1,1,-30.389983039804417,-10.0338026818622,-100.0,-100.0,1,H
500,16,6,0,0,-108.50008198007042,-67.05080237204349,-126.76142109572551,-103.06774211401476,1,H
501,16,6,0,1,-24.882609736219287,-103.14857453775767,-778.4862253445975,-671.9969704559103,0,S
502,16,6,1,0,-28.429616895126458,-21.06806170512644,-39.75430458862472,-31.217675254398337,1,H
503,16,6,1,1,-34.82864519773188,-22.265967131391545,-99.1181313872379,-100.0,1,H
504,16,7,0,0,-90.59992403228908,-96.84057005960928,-150.06361061425363,-79.24087413320235,3,Su
505,16,7,0,1,-108.15451950005452,-68.7899301364306,-550.1976556628185,-728.8387031954875,1,H
506,16,7,1,0,-27.672089346367528,-7.249033907167675,-45.99754758350541,-46.940944642720076,1,H
507,16,7,1,1,-38.412018183030966,-21.39757467705664,-190.0,-100.0,1,H
508,16,8,0,0,-95.03271063617579,-95.28469960166356,-100.97610088026615,-84.23025728931142,3,Su
509,16,8,0,1,-100.48486033584734,-66.6697615754513,-598.2714446532044,-905.8103143796474,1,H
510,16,8,1,0,-58.49150606913231,-40.81292967099394,-75.46804129342846,-47.31344241735033,1,H
511,16,8,1,1,-38.14977228877086,-0.021106075000070668,-100.0,-100.0,1,H
