,State,Action
386,"(13, 7, 1, 0)",1
387,"(13, 7, 1, 1)",1
388,"(13, 8, 0, 0)",1
389,"(13, 8, 0, 1)",1
390,"(13, 8, 1, 0)",1
391,"(13, 8, 1, 1)",1
392,"(13, 9, 0, 0)",1
393,"(13, 9, 0, 1)",1
394,"(13, 9, 1, 0)",1
395,"(13, 9, 1, 1)",1
396,"(13, 10, 0, 0)",1
397,"(13, 10, 0, 1)",1
398,"(13, 10, 1, 0)",1
399,"(13, 10, 1, 1)",1
400,"(14, 1, 0, 0)",1
401,"(14, 1, 0, 1)",1
402,"(14, 1, 1, 0)",1
403,"(14, 1, 1, 1)",1
404,"(14, 2, 0, 0)",0
405,"(14, 2, 0, 1)",0
406,"(14, 2, 1, 0)",1
407,"(14, 2, 1, 1)",1
408,"(14, 3, 0, 0)",0
409,"(14, 3, 0, 1)",0
410,"(14, 3, 1, 0)",1
411,"(14, 3, 1, 1)",1
412,"(14, 4, 0, 0)",0
413,"(14, 4, 0, 1)",0
414,"(14, 4, 1, 0)",1
415,"(14, 4, 1, 1)",1
416,"(14, 5, 0, 0)",0
417,"(14, 5, 0, 1)",0
418,"(14, 5, 1, 0)",2
419,"(14, 5, 1, 1)",1
420,"(14, 6, 0, 0)",0
421,"(14, 6, 0, 1)",0
422,"(14, 6, 1, 0)",2
423,"(14, 6, 1, 1)",1
424,"(14, 7, 0, 0)",1
425,"(14, 7, 0, 1)",1
426,"(14, 7, 1, 0)",1
427,"(14, 7, 1, 1)",1
428,"(14, 8, 0, 0)",1
429,"(14, 8, 0, 1)",1
430,"(14, 8, 1, 0)",1
431,"(14, 8, 1, 1)",1
432,"(14, 9, 0, 0)",1
433,"(14, 9, 0, 1)",1
434,"(14, 9, 1, 0)",1
435,"(14, 9, 1, 1)",1
436,"(14, 10, 0, 0)",1
437,"(14, 10, 0, 1)",1
438,"(14, 10, 1, 0)",1
439,"(14, 10, 1, 1)",1
440,"(15, 1, 0, 0)",1
441,"(15, 1, 0, 1)",1
442,"(15, 1, 1, 0)",1
443,"(15, 1, 1, 1)",1
444,"(15, 2, 0, 0)",0
445,"(15, 2, 0, 1)",0
446,"(15, 2, 1, 0)",1
447,"(15, 2, 1, 1)",1
448,"(15, 3, 0, 0)",0
449,"(15, 3, 0, 1)",0
450,"(15, 3, 1, 0)",1
451,"(15, 3, 1, 1)",1
452,"(15, 4, 0, 0)",0
453,"(15, 4, 0, 1)",0
454,"(15, 4, 1, 0)",2
455,"(15, 4, 1, 1)",1
456,"(15, 5, 0, 0)",0
457,"(15, 5, 0, 1)",0
458,"(15, 5, 1, 0)",2
459,"(15, 5, 1, 1)",1
460,"(15, 6, 0, 0)",0
461,"(15, 6, 0, 1)",0
462,"(15, 6, 1, 0)",2
